episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/bc_loss,info/learner/default_policy/learner_stats/accuracy,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/validation/cross_entropy
nan,nan,nan,nan,0,0,9754,9754,9754,False,0,1,default,f6d789c7d0d54543a9f0ae848f1f8f07,2023-04-11_23-54-25,1681282465,0.33129453659057617,0.33129453659057617,10988,DESKTOP-F4VQ8OS,127.0.0.1,0.33129453659057617,9754,1,[],[],299.294,32590.081,9754,9754,9754,9754,11.4,79.3,0.0,1.2911550624697816,0.6124387254901961,0.0010000000000000002,nan
nan,nan,nan,nan,0,0,19508,9754,19508,False,0,2,default,f6d789c7d0d54543a9f0ae848f1f8f07,2023-04-11_23-54-25,1681282465,0.3406033515930176,0.6718978881835938,10988,DESKTOP-F4VQ8OS,127.0.0.1,0.6718978881835938,19508,2,[],[],309.476,31517.802,19508,19508,19508,9754,,,0.0,1.1719618848725861,0.617780605951945,0.0010000000000000002,nan
nan,nan,nan,nan,0,0,29262,9754,29262,False,0,3,default,f6d789c7d0d54543a9f0ae848f1f8f07,2023-04-11_23-54-26,1681282466,0.3442678451538086,1.0161657333374023,10988,DESKTOP-F4VQ8OS,127.0.0.1,1.0161657333374023,29262,3,[],[],309.048,31561.406,29262,29262,29262,9754,7.3,79.4,0.0,1.0962065388174618,0.6189511059935576,0.0010000000000000002,nan
nan,nan,nan,nan,0,0,39016,9754,39016,False,0,4,default,f6d789c7d0d54543a9f0ae848f1f8f07,2023-04-11_23-54-26,1681282466,0.2840085029602051,1.3001742362976074,10988,DESKTOP-F4VQ8OS,127.0.0.1,1.3001742362976074,39016,4,[],[],295.52,33006.245,39016,39016,39016,9754,,,0.0,1.0573756924641677,0.6230989192046371,0.0010000000000000002,nan
nan,nan,nan,nan,0,0,48770,9754,48770,False,0,5,default,f6d789c7d0d54543a9f0ae848f1f8f07,2023-04-11_23-54-26,1681282466,0.326263427734375,1.6264376640319824,10988,DESKTOP-F4VQ8OS,127.0.0.1,1.6264376640319824,48770,5,[],[],297.469,32790.009,48770,48770,48770,9754,5.0,79.4,0.0,1.0352499866797253,0.623036073313819,0.0010000000000000002,nan
nan,nan,nan,nan,0,0,58524,9754,58524,False,0,6,default,f6d789c7d0d54543a9f0ae848f1f8f07,2023-04-11_23-54-26,1681282466,0.3251512050628662,1.9515888690948486,10988,DESKTOP-F4VQ8OS,127.0.0.1,1.9515888690948486,58524,6,[],[],297.749,32759.158,58524,58524,58524,9754,,,0.0,1.0187376566182553,0.6221326671394647,0.0010000000000000002,nan
nan,nan,nan,nan,0,0,68278,9754,68278,False,0,7,default,f6d789c7d0d54543a9f0ae848f1f8f07,2023-04-11_23-54-27,1681282467,0.30300045013427734,2.254589319229126,10988,DESKTOP-F4VQ8OS,127.0.0.1,2.254589319229126,68278,7,[],[],293.928,33185.004,68278,68278,68278,9754,8.0,79.4,0.0,1.0041104559025733,0.6242929864553065,0.0010000000000000002,nan
nan,nan,nan,nan,0,0,78032,9754,78032,False,0,8,default,f6d789c7d0d54543a9f0ae848f1f8f07,2023-04-11_23-54-27,1681282467,0.28712010383605957,2.5417094230651855,10988,DESKTOP-F4VQ8OS,127.0.0.1,2.5417094230651855,78032,8,[],[],290.693,33554.291,78032,78032,78032,9754,,,0.0,0.9898841836873222,0.6223369155054778,0.0010000000000000002,nan
nan,nan,nan,nan,0,0,87786,9754,87786,False,0,9,default,f6d789c7d0d54543a9f0ae848f1f8f07,2023-04-11_23-54-27,1681282467,0.3430933952331543,2.88480281829834,10988,DESKTOP-F4VQ8OS,127.0.0.1,2.88480281829834,87786,9,[],[],293.736,33206.643,87786,87786,87786,9754,5.9,79.5,0.0,0.9822050640785617,0.6258012819913478,0.0010000000000000002,nan
nan,nan,nan,nan,0,0,97540,9754,97540,False,0,10,default,f6d789c7d0d54543a9f0ae848f1f8f07,2023-04-11_23-54-28,1681282468,0.35633158683776855,3.2411344051361084,10988,DESKTOP-F4VQ8OS,127.0.0.1,3.2411344051361084,97540,10,[],[],297.064,32834.718,97540,97540,97540,9754,,,0.0,0.972758461447323,0.6266339869281046,0.0010000000000000002,nan
